Date,Open,High,Low,Close,Adj Close,Volume
2022-11-21,4987.080078,4999.660156,4953.180176,4987.080078,4987.080078,0
2022-11-22,4946.250000,4948.839844,4895.169922,4946.250000,4946.250000,0
2022-11-23,4905.009766,4905.649902,4873.549805,4905.009766,4905.009766,0
2022-11-24,4881.609863,4905.830078,4837.708008,4881.609863,4881.609863,0
2022-11-25,4899.810059,4911.580078,4864.240234,4899.810059,4899.810059,0
2022-11-28,4863.819824,4871.339844,4822.636719,4863.819824,4863.819824,0
2022-11-29,4833.339844,4833.339844,4802.069824,4833.339844,4833.339844,0
2022-11-30,4809.339844,4837.410156,4793.379883,4809.339844,4809.339844,0
2022-12-01,4828.299805,4828.299805,4774.500000,4828.299805,4828.299805,0
2022-12-02,4785.580078,4786.720215,4722.255371,4785.580078,4785.580078,0
2022-12-06,4832.680176,4832.680176,4832.680176,4832.680176,4832.680176,0
